event,text,timestamp
fifa_final,#LFC fans should not be allowed to leave Liverpool ever... #litteringlondon,1336226410
fifa_final,Waiting to watch the mighty #lfc  nervously waiting i might add. Come on you reds ave it.:-),1336226402
fifa_final,@samhoward_smith: So 2 hours till kick off and I'm starting to feel nervous. Well this is gonna be a fun 5 hours. #LFC #FACup,1336226408
fifa_final,Anyone know how big this screen is at Anfield today? #LFC,1336226420
fifa_final,@ChelseaSehwag: Now WBA will give Roy his farewell gift by beating Arsenal. Spurs will lose &amp; draw one. We'll finish 3rd! Believe ...,1336226412
fifa_final,@ESSAFC: Why are you guys so interested in the final? Its not like United is playing in it! You support United only so just saying! #CFC,1336226410
fifa_final,@chelseafc My twinies getting ready!... To be able to scream GOAL! Up Chelsea!  #CFCWembley #FACupFinal http://t.co/eQl48aHc,1336226403
fifa_final,Hope #lfc smash #CFC in the #FACupFinal today. Hate diMatteo the blokes still not took the knife outta avb's back #NUFC #toontoon,1336226421
fifa_final,@chelseafc: It's #FACupFinal day  and is there a better feeling than another #CFCWembley day? Feeling confident Blues fans? (SL),1336226418
fifa_final,Another Wembley FA Cup final for @LFC today!! Come on you Reds!!! #YNWA @kennethdalglish @glen_johnson,1336226403
fifa_final,@liverpool: Are you ready for the final? Share your pics... #lfc,1336226427
fifa_final,@Richard_Buxton_ What do you think about today's match? I think @LFC should win their second title this season. @estoesanfield,1336226423
fifa_final,@Naziho_Torres9: The spotlights are on Chelsea tonight  we are the famous CFC and we are going to end Liverpool's history tonight! #C ...,1336226428
fifa_final,Come on @DebbieFewell need to get home for #FACupFinal,1336226407
fifa_final,Hope @LFC can bring back the #facup to anfield this afternoon! Good luck boys,1336226425
fifa_final,@cherry_vios: [FACUP] FINAL: @LFC v @CHELSEAFC | Wembley | Saturday  5 May 2012 | KO: 23.00 WIB | LIVE @Program_MNCTV http://t.co/zUp ...,1336226403
fifa_final,My school is all red and Kenny is our teacher #ComonReds #LFC #YNWA,1336226418
fifa_final,Does ESPN really think that Chelsea fans really live in Chelsea???#FACupFinal,1336226414
fifa_final,@bluechampion: Remember folks! It's raining at Wembley! The boy from Spain loves the rain! Fernando to score today! #cfc @chelseafc,1336226410
fifa_final,Reina: Torres (@Torres) Would Have Regretted Leaving Liverpool (@LFC) - http://t.co/VuU5ywHb via @TheAsianKop,1336226400
fifa_final,#FACup live on two 3m wide bigscreens @ClubRileys @RileysBristol Park St w/Casino #blackjack #poker #Bristol from 8pm http://t.co/tCu3LjvD,1336226408
fifa_final,#FACupFinal LIVE at 12pm - come watch with us! #Liverpool #Chelsea,1336226408
fifa_final,Counting down to kick off #FACupFinal #LFCForTheDouble,1336226415
fifa_final,@DanielleWarby KO is 5.15pm in UK  2.15am Syd. Telecast starts at 1am. #YNWA #facupfinal,1336226425
fifa_final,#FACup countdown under way on TV so we'd best play catch-up. Few predictions flying around. Who's got one for us? Quote our odds &amp; get a RT.,1336226414
fifa_final,86 dan ;) @BIGREDS_IOLSC: About 2 hours to go. Are you ready  lads &amp; lasses?! #FACupFinal #LFC #BIGREDS,1336226414
fifa_final,"@jamesgilmour: Can't wait to see how RDM lines @chelseafc up. I'd love to see Drogba &amp; Torres upfront." «-- It'll make no difference! #YNWA,1336226404
fifa_final,Try to forget the loss by switching to the #FACup  just to see Ryan Giggs running through the entire defence from 99 #somethingsneverchange,1336226425
fifa_final,@AdamPhillip_ Same here  bue Didi and Lamps #BlueIsTheColour #CFC,1336226409
fifa_final,Feeling Messi? Football referees are on the streets giving you some solid tactics http://t.co/2mBpi0NH #facupfinal #choosewell,1336226404
fifa_final,FA Cup final in 2 hrs 15 mins!  #LFC #YNWA,1336226419
fifa_final,wembley is reds ! #LFC #YNWA #FAcup @LFC_ID @luis16suarez @Dirk_18_Kuyt @glen_johnson @adidasfootball,1336226404
fifa_final,Today is going awful sloooooooooow. Hurry up 5.15! #lfc,1336226410
fifa_final,Lewis entering club wembley #Lfc http://t.co/SCRYWBbx,1336226408
fifa_final,@OfficialSF1Team: Wishing all the best to @chelseafc in the   #FACupFinal @Wembley! Let's get the trophy!,1336226415
fifa_final,Let's do this Chelsea. #CFC #KTBFFH #FACup #Finals,1336226428
fifa_final,Victory is near than tomorrow #LFC #YNWA,1336226427
fifa_final,@bluechampion: Remember folks! It's raining at Wembley! The boy from Spain loves the rain! Fernando to score today! #cfc @chelseafc,1336226425
fifa_final,Jus passin wembley stadium! Good luck @LFC #ynwa,1336226417
fifa_final,@HeidyCFC: I'm Buzzing !! #FACupFinal #CFCWembley Up the Chels,1336226406
fifa_final,Are you ready for the final? Share your pics... #lfc,1336226402
fifa_final,@thisisanfield: if the pre-match nerves are kicking in! #LFC #FACupFinal,1336226406
fifa_final,Once a blue  always a blue! Up the blues! #CFC,1336226407
fifa_final,@Jay_78_: #LFC Drogba banner again http://t.co/SoUP9VAN,1336226410
fifa_final,Bet is on! 3-1 to #CFC,1336226410
fifa_final,Liverpool fans banner for today's game http://t.co/A3t3Df3Z #FAcup #JFT96,1336226407
fifa_final,the #FAcup to #LFC is like the PL to #MUFC,1336226406
fifa_final,Great match from the #EPL as Arsenal tie 3 all with Norwich City at the Emirates Stadium! Now we wait for Chelsea vs Liverpool! #FACupFinal,1336226412
fifa_final,Here's an Awesome #cfc #chelsea #chelseafc fan shared image on @fancite  http://t.co/ZTAgIMVi,1336226407
fifa_final,“@henrywinter: Front of £10 #cfc v #lfc FA Cup final programme... Drogba v Skrtel http://t.co/aoy1oTDA” TN PNDS?! RBBNG GTS! @MirrorFootball,1336226422
fifa_final,@bluechampion: Remember folks! It's raining at Wembley! The boy from Spain loves the rain! Fernando to score today! #cfc @chelseafc,1336226423
fifa_final,@ESPNTVUK: 1: Ryan Giggs' goal against Arsenal #mufc #afc #facup,1336226428
fifa_final,@redstrots: We love you Liverpool we do  We love you Liverpool we do  We love you Liverpool we do  oh Liverpool We love you #YNWA #LF ...,1336226420
fifa_final,@ollyofficial you watching the game later? Who do u want to win? #lfc,1336226421
fifa_final,Dreading work tonight #FACup correlates to a busy fucking shift. And I support #LFC so I can't watch it! Fuckkk,1336226403
fifa_final,Poll 2 : if you wish to see maxi in the starting line up today #LFC,1336226404
fifa_final,@stephendellow: Doesn't feel like cup final day  FA have ruined the importance and meaning of it #LetDown #CupFinal #FAcup,1336226407
fifa_final,@saifuddinabd: Wah! "@Muhammad_Alias: Tonight: team @saifuddinabd vs team @IdrisJala_ #YNWA #FACupFinal",1336226402
fifa_final,So now full focus on the big game tonight! Hoping for some Suarez magic tonight! @LFC #YNWA,1336226402
fifa_final,@umbro: To win signed Andy Carroll Speciali boots  just this message before the end of today's #FACup http://t.co/Mn4uSsn0,1336226411
